category,condition,description,meet_up,overview,pics,price,seller,title,url
,Like new # Like new: Used lightly only once or twice. As good as new.,"Posted,3 weeks ago,Brand,Kingston,8G x1 @$90
8G x2 @$170
8G x3 @ $260
8G x 4 @$340
如有誠意及方便交收，可議價。",MTR Tseung Kwan O Station (港鐵將軍澳站),"Like new,Meetup,MTR Tseung Kwan O Station (港鐵將軍澳站)","https://media.karousell.com/media/photos/products/2023/8/26/ddr4_ram_8g_x2_1693010120_24400423.jpg,https://media.karousell.com/media/photos/products/2023/8/26/ddr4_ram_8g_x2_1693010120_24400423_progressive.jpg,https://media.karousell.com/media/photos/products/2023/8/26/ddr4_ram_8g_x2_1693010120_f26e0d21_progressive.jpg,https://media.karousell.com/media/photos/products/2023/8/26/ddr4_ram_8g_x2_1693010120_0db3e33f_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/9/kingston_ddr3_8g_ram_1694226897_1a08e1a5_thumbnail.jpg,https://media.karousell.com/media/photos/products/2023/8/19/hp_dp_to_vga_adaptor_1692431670_df800934_thumbnail.jpg,https://media.karousell.com/media/photos/products/2023/8/5/hp_dual_port_lan_card_1691212180_a355c158_thumbnail.jpg",HK$90,/u/dn1018/,DDR4 ram 8G,https://www.carousell.com.hk/p/ddr4-ram-8g-1251103284/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=13
,Well used # Well used: Used but handled with care. Might have some minor flaws or defects.,"Bumped,2 weeks ago,Brand,HP,HP P201。20寸顯示器
沒有底座
正常運作
現有兩個，因自己轉了22寸，所以現出售20寸
有兩台，每台70元",MTR Tin Shui Wai Station (港鐵天水圍站),"Well used,Meetup,MTR Tin Shui Wai Station (港鐵天水圍站)","https://media.karousell.com/media/photos/products/2023/5/26/_1685084346_a31eaf8f.jpg,https://media.karousell.com/media/photos/products/2023/5/26/_1685084346_a31eaf8f_progressive.jpg,https://media.karousell.com/media/photos/products/2023/5/26/_1685084346_9e7ed532_progressive.jpg,https://media.karousell.com/media/photos/products/2023/5/26/_1685084346_ff303b4a_progressive.jpg,https://media.karousell.com/media/photos/products/2023/5/26/_1685084346_08efe120_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/2/wii_1693685372_4a905d6c_thumbnail.jpg",HK$70,/u/aoahi/,顯示器顯示屏,https://www.carousell.com.hk/p/%E9%A1%AF%E7%A4%BA%E5%99%A8%E9%A1%AF%E7%A4%BA%E5%B1%8F-1233951967/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=11
,Brand new # Brand new: Never used before. Comes with original packaging or tag.,"Bumped,22 minutes ago,詳情>>
,

我哋的付款方式：
1️⃣ 轉數快: 91820621 
2️⃣ 恒生銀行: 329-423149-001
3️⃣ VISA, 支付寶，微信，八達通付款。
收款人(我們公司名稱)：
Hang Fung Computer Technology Limited
📲過數記錄WhatsApp 91820621

🚚送貨方法：
當確認收到你嘅款項，我哋會喺一至四個工作天內完成你嘅訂單並聯絡運輸送貨比你，多謝晒！🙇 ‍🙇 ‍🙇        ‍ 

📱WhatsApp查詢: 91820621
💢自由配搭，歡迎查詢💢         

🛠維修保養：
✔️多年砌機經驗，專業服務，信心保證；
✔️本公司提供五年免費檢查保養；
✔️電腦套餐首年零件有壞換一；
✔️提供專業售後遠端技術支援；
✔️全新原裝行貨。

《恒豐電腦科技有限公司》
🌍📍地址：深水埗高登電腦中心1樓96號舖 
(開業多年.真誠服務.專業之選.信心之選)

🚛足不出戶，網上落單，專人送到 🚴         





",Golden Computer Centre (高登電腦中心),"Brand new,Meetup,Golden Computer Centre (高登電腦中心)","https://media.karousell.com/media/photos/products/2023/8/22/_intel_i513400f_rtx_4060_16gb__1692692215_82b7d8ac,https://media.karousell.com/media/photos/products/2023/8/22/_intel_i513400f_rtx_4060_16gb__1692692215_82b7d8ac_progressive,https://media.karousell.com/media/photos/products/2023/1/21/_intel_i712700f_rtx_3060_16gb__1674296273_f8934489_progressive,https://media.karousell.com/media/photos/products/2023/1/21/_intel_i712700f_rtx_3060_16gb__1674296273_35e9eeb1_progressive,https://media.karousell.com/media/photos/products/2021/9/14/msi_gtx_1660_super_ventus_xs_o_1631615778_16915238_thumbnail.jpg","HK$6,780",/u/HangFungComputer/,"強力高階電競組合 Intel i5-13400F, RTX 4060, 16GB RAM, 1000GB SSD高階電競 超抵精選",https://www.carousell.com.hk/p/%E5%BC%B7%E5%8A%9B%E9%AB%98%E9%9A%8E%E9%9B%BB%E7%AB%B6%E7%B5%84%E5%90%88-intel-i5-13400f-rtx-4060-16gb-ram-1000gb-ssd%E9%AB%98%E9%9A%8E%E9%9B%BB%E7%AB%B6-%E8%B6%85%E6%8A%B5%E7%B2%BE%E9%81%B8-1210858579/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=14
,Like new # Like new: Used lightly only once or twice. As good as new.,"Posted,6 days ago,Brand,GigaByte,更換電腦，所以賣出

100% work 正常運作

有盒，金手指，銅管同新既一樣

打LOL有144HZ
",MTR Tin Shui Wai Station (港鐵天水圍站),"Like new,Mailing · Meetup,MTR Tin Shui Wai Station (港鐵天水圍站)","https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_8730aa04,https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_8730aa04_progressive,https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_59adb31c_progressive,https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_b02d6722_progressive,https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_c7ec332d_progressive,https://media.karousell.com/media/photos/products/2023/9/14/gigabyte_geforce_gtx_1060_wind_1694672733_6c37eae1_progressive,https://media.karousell.com/media/photos/products/2023/1/17/_apex_legend____1673941905_e5cebfe7_thumbnail,https://media.karousell.com/media/photos/products/2021/12/27/factfulness__1640593839_fc744836_thumbnail.jpg",HK$650,/u/zekpause/,GigaByte GeForce® GTX 1060 WINDFORCE OC 6G,https://www.carousell.com.hk/p/gigabyte-geforce%C2%AE-gtx-1060-windforce-oc-6g-1254691250/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=9
,Well used # Well used: Used but handled with care. Might have some minor flaws or defects.,"Bumped,13 minutes ago,Brand,Apple,MACBOOK PRO 2019 I9
32GB RAM
1TB STORAGE
Intel I9
AMD pro 4 gb
包火牛，唔連盒",Wan Chai (灣仔),"Well used,Meetup,Wan Chai (灣仔)","https://media.karousell.com/media/photos/products/2021/11/18/macbook_pro_2019_i9_1637224865_5bec6335,https://media.karousell.com/media/photos/products/2021/11/18/macbook_pro_2019_i9_1637224865_5bec6335_progressive,https://media.karousell.com/media/photos/products/2021/11/18/macbook_pro_2019_i9_1637224865_6cc955da_progressive,https://media.karousell.com/media/photos/products/2021/11/18/macbook_pro_2019_i9_1637224865_65806d54_progressive,https://media.karousell.com/media/photos/products/2021/11/18/macbook_pro_2019_i9_1637224866_bfe2e18b_progressive,https://media.karousell.com/media/photos/products/2022/12/20/asics_materide_us9_eur_425_uk__1671527525_354f781c_thumbnail.jpg","HK$6,000",/u/67722587yu-82754/,MACBOOK PRO 2019 I9 15.4“,https://www.carousell.com.hk/p/macbook-pro-2019-i9-15-4%E2%80%9C-1126422375/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=8
,Lightly used # 7,"Posted,6 minutes ago,Brand,Asus,Good condition, seldom used.
Overall 90% smooth

Please see 3rd photo for specifications",MTR Kam Sheung Road Station (港鐵錦上路站),"Lightly used,Meetup,MTR Kam Sheung Road Station (港鐵錦上路站)","https://media.karousell.com/media/photos/products/2023/9/21/zephyrus_m_1695264908_d1b2ff24.jpg,https://media.karousell.com/media/photos/products/2023/9/21/zephyrus_m_1695264908_d1b2ff24_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/21/zephyrus_m_1695264908_4c7294d8_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/21/zephyrus_m_1695264908_6105ae33_progressive.jpg,https://media.karousell.com/media/photos/products/2023/8/30/sony_50mm_f18_sel50f18f_1693385838_fb5bdd0c_thumbnail","HK$5,380",/u/alicor/,Zephyrus M,https://www.carousell.com.hk/p/zephyrus-m-1255963347/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=8wjeuxo3INmIzg9n&t-referrer_sort_by=popular&t-tap_index=6
,Lightly used # 7,"Posted,2 days ago,Brand,Asus",MTR Sai Ying Pun Station (港鐵西營盤站),"Lightly used,Meetup,MTR Sai Ying Pun Station (港鐵西營盤站)","https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_6b1a8499.jpg,https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_6b1a8499_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_be669bdf_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_4ac0924a_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_266fba30_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/18/__monitor_1695020895_fc8ae45a_progressive.jpg,https://media.karousell.com/media/photos/products/2023/3/6/airpods_pro_charging_case_1678085846_62a2d158_thumbnail.jpg",HK$400,/u/lalinnnjqy/,電腦螢幕 | Monitor,https://www.carousell.com.hk/p/%E9%9B%BB%E8%85%A6%E8%9E%A2%E5%B9%95-monitor-1255463646/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=-XHO6SpzoI7qiYuu&t-referrer_sort_by=popular&t-tap_index=322
,Well used # Well used: Used but handled with care. Might have some minor flaws or defects.,"Posted,1 year ago,Brand,Hisense,海信 Hisense 32吋高清LED電視會智能配比紅、藍、綠三種基礎顏色分佈，能還原畫質最真的狀態。加上音質的提升，自動音量控制讓音量不會忽大忽小",Central-Wan Chai Bypass (中環-灣仔繞道),"Well used,Meetup,Central-Wan Chai Bypass (中環-灣仔繞道)","https://media.karousell.com/media/photos/products/2022/3/20/hisense_32led_lhd32k3500_1647782000_de5399c7.jpg,https://media.karousell.com/media/photos/products/2022/3/20/hisense_32led_lhd32k3500_1647782000_de5399c7_progressive.jpg,https://media.karousell.com/media/photos/products/2022/3/20/hisense_32led_lhd32k3500_1647782000_de5399c7_progressive.jpg,https://media.karousell.com/media/photos/products/2022/3/20/hisense_32led_lhd32k3500_1647782000_5f9fd0de_progressive.jpg",HK$500,/u/ccchhann/,Hisense 海信32吋高清LED智能電視 lhd32k3500,https://www.carousell.com.hk/p/hisense-%E6%B5%B7%E4%BF%A132%E5%90%8B%E9%AB%98%E6%B8%85led%E6%99%BA%E8%83%BD%E9%9B%BB%E8%A6%96-lhd32k3500-1150153340/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=-XHO6SpzoI7qiYuu&t-referrer_sort_by=popular&t-tap_index=320
,Brand new # Brand new: Never used before. Comes with original packaging or tag.,"Posted,6 days ago,Brand,Apple,Model Number,MMFJ3ZP/A,Ram (GB),8GB,SSD Storage (GB),256GB,原裝紙盒未拆封 全新行貨有保
AOS到貨後一直未拆
2023年 M2版本 8GB RAM, 256GB SSD 

香港行貨 有1年保養
放工時間 觀塘沿綫交收 

**只限面交**",MTR Kwun Tong Station (港鐵觀塘站),"Brand new,Meetup,MTR Kwun Tong Station (港鐵觀塘站)","https://media.karousell.com/media/photos/products/2023/9/14/_apple_mac_mini_2023_m2_8256_1694692051_3df1f55f,https://media.karousell.com/media/photos/products/2023/9/14/_apple_mac_mini_2023_m2_8256_1694692051_3df1f55f_progressive,https://media.karousell.com/media/photos/products/2023/9/14/_apple_mac_mini_2023_m2_8256_1694692051_667b3b35_progressive,https://media.karousell.com/media/photos/products/2023/9/14/_apple_mac_mini_2023_m2_8256_1694692051_c4baf18f_progressive,https://media.karousell.com/media/photos/products/2023/6/26/asus_rog_azoth_nx__1687799280_57fdcd86_thumbnail,https://media.karousell.com/media/photos/products/2023/7/2/nintendo_switch_pro_controller_1688311930_7a33baab_thumbnail","HK$3,600",/u/kcy__/,【原裝紙盒未拆】全新行貨 Apple Mac mini 2023 M2 8+256,https://www.carousell.com.hk/p/%E3%80%90%E5%8E%9F%E8%A3%9D%E7%B4%99%E7%9B%92%E6%9C%AA%E6%8B%86%E3%80%91%E5%85%A8%E6%96%B0%E8%A1%8C%E8%B2%A8-apple-mac-mini-2023-m2-8-256-1254749704/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=-XHO6SpzoI7qiYuu&t-referrer_sort_by=popular&t-tap_index=321
,Like new # Like new: Used lightly only once or twice. As good as new.,"Posted,1 week ago,Brand,Corsair amd gigabyte ,Ryzen 7 5700x 
Rx 6600XT gigabyte 
Gigabyte b550m ( WiFi version )
48gb ram Corsair 3600 mhz
1tb ssd m.2 pcie 4.0
650w psu  Msi mag force
Montech x3 glass 
有收據
可以上門試機
",,"Like new,Mailing,Hong Kong","https://media.karousell.com/media/photos/products/2023/9/9/_ryzen_7_5700x_32gb_ram_1tb_ss_1694233956_446ab93c.jpg,https://media.karousell.com/media/photos/products/2023/9/9/_ryzen_7_5700x_32gb_ram_1tb_ss_1694233956_446ab93c_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/9/_ryzen_7_5700x_32gb_ram_1tb_ss_1694233956_67bba022_progressive.jpg,https://media.karousell.com/media/photos/products/2023/9/9/_ryzen_7_5700x_32gb_ram_1tb_ss_1694233956_74b58cc0_progressive.jpg","HK$5,300",/u/goldpc_store/,打機電腦 ryzen 7 5700x 48gb ram 1tb ssd Rx 6600 XT,https://www.carousell.com.hk/p/%E6%89%93%E6%A9%9F%E9%9B%BB%E8%85%A6-ryzen-7-5700x-48gb-ram-1tb-ssd-rx-6600-xt-1253732710/?t-id=1ypRnz1jqu_1695265233292&t-referrer_browse_type=categories&t-referrer_category_id=5308&t-referrer_page_type=category_browse&t-referrer_request_id=-XHO6SpzoI7qiYuu&t-referrer_sort_by=popular&t-tap_index=318
